nome	squadra	ruolo	qt	ia	fascia	note	valore	sos	prezzoMedioAste	prezzoStat	prezzoGolMax	fv	pg	media	fmedia	gol	assist	amm	golSubiti	accoppiata
Kalulu	Juventus	D	14	77.42		Mod.	Semi-Top	Titolare	21.25	18.48	8.82	0.68	37	6.14	6.35	2	4	2		Torino Genoa Roma
Pavlovic	Milan	D	14	77.42		Mod.	Semi-Top	Bonus	20.8	20.76	22.06	0.77	34	6.24	6.62	5	0	4		Inter Parma Cagliari
Gila	Milan	D	13	76.44		Titolare	Semi-Top	Mod.	18.5	13.99	0	0.56	31	6.03	5.95	0	0	3		Inter Parma Cagliari
N'Dicka	Roma	D	13	76.44		Cartellini	Semi-Top	Mod.	16.9	16.86	13.23	0.68	31	6.08	6.32	3	1	5		Lazio Napoli Juventus
Solet	Udinese	D	13	76.44		Mod.	Top	Titolare	23.45	19.08	13.23	0.77	34	6.18	6.4	3	1	1		Genoa Lecce Milan
Bisseck	Inter	D	12	75.48		Bonus	Semi-Top	Mod.	17.05	15.08	13.23	0.67	23	6.22	6.65	3	2	2		Milan Sassuolo Juventus
Stones	Inter	D	12	75.48					13.25	Prezzo N.D.										Milan Sassuolo Juventus
Di Lorenzo	Napoli	D	12	75.48		Mod.	Semi-Top	Bonus	21.35	14.54	8.82	0.64	26	6.08	6.33	2	1	1		Roma Bologna Frosinone
Ostigard	Genoa	D	11	74.47		Cartellini	Semi-Top	Bonus	16.35	14.86	22.06	0.73	30	6.13	6.52	5	0	7		Juventus Bologna Como
Hermoso	Roma	D	11	74.47		Cartellini	Terza	Mod.	9.3	13.26	13.23	0.65	27	6.17	6.41	3	2	9		Lazio Napoli Juventus
Spence	Inter	D	11	74.47		Bonus	Semi-Top	Scommessa	20.65	Prezzo N.D.										Milan Sassuolo Juventus
Scalvini	Atalanta	D	10	73.3		Cartellini	Semi-Top	Infortuni	9.7	12.06	13.23	0.66	24	6.06	6.44	3	1	2		Frosinone Bologna Cagliari
Ramon	Como	D	10	73.3		Mod.	Semi-Top	Titolare	16.75	10.96	8.82	0.6	32	6.16	6.14	2	0	11		Fiorentina Frosinone Genoa
Chalobah T.	Como	D	10	73.3		Scommessa	Semi-Top	Bonus	16.4	Prezzo N.D.										Fiorentina Frosinone Genoa
Dodò	Fiorentina	D	9	72		Bonus	jolly	Infortuni	4.1	10.23	4.41	0.63	36	5.99	6.03	1	2	7		Cagliari Como Lazio
Vasquez	Genoa	D	9	72		Titolare	Terza	Cartellini	7.95	10.59	4.41	0.65	36	6.08	6.14	1	0	2		Juventus Bologna Como
Vojvoda	Udinese	D	9	72		Bonus	Terza	Mod.	12	10.35	8.82	0.64	27	6.02	6.24	2	1	2		Genoa Lecce Milan
Kamara H.	Udinese	D	9	72		Inaffidabile	Quarta		6.4	8.94	0	0.55	26	5.88	5.87	0	2	5		Genoa Lecce Milan
Zappacosta	Atalanta	D	8	70.48		Bonus	Semi-Top	Infortuni	9.5	9.98	13.23	0.71	35	6.06	6.3	3	1	3		Frosinone Bologna Cagliari
Miranda J.	Bologna	D	8	70.48		Bonus	Terza	Mod.	8.55	8.67	4.41	0.61	31	6	6.1	1	3	6		Atalanta Lecce Napoli
Celik	Juventus	D	8	70.48		Mod.	Terza	Jolly	8.15	8.74	4.41	0.62	32	6.17	6.27	1	2	2		Torino Genoa Roma
Cambiaso	Juventus	D	8	70.48		Cartellini	jolly	Titolare	11.25	9.6	13.23	0.68	36	5.81	5.99	3	4	3		Torino Genoa Roma
Doekhi	Lazio	D	8	70.48			Terza		4.1	Prezzo N.D.										Roma Genoa Torino
Tiago Gabriel	Lecce	D	8	70.48		Scommessa	Quarta	Titolare	5.35	9.22	8.82	0.65	36	6	6.01	2	0	7		Parma Bologna Fiorentina
Bartesaghi	Milan	D	8	70.48		Mod.	Terza		7.4	9.11	8.82	0.65	31	5.97	6.05	2	0	3		Inter Parma Cagliari
Spinazzola	Napoli	D	8	70.48		Infortuni	Semi-Top	Mod.	11.4	9.96	13.23	0.71	30	6.17	6.55	3	3	1		Roma Bologna Frosinone
Delprato	Parma	D	8	70.48		Titolare	Quarta	Bonus	6.25	9.23	8.82	0.66	35	5.91	6.01	2	0	5		Lecce Sassuolo Milan
Valeri	Parma	D	8	70.48		Bonus	Semi-Top	Mod.	7.85	8.72	0	0.62	34	6.06	6.09	0	2	2		Lecce Sassuolo Milan
Koulierakis	Roma	D	8	70.48			jolly		4.25	Prezzo N.D.										Lazio Napoli Juventus
Comuzzo	Torino	D	8	70.48		Cartellini	titolare	Mod.	3.25	8.04	4.41	0.57	24	5.75	5.75	1	0	2		Juventus Lazio Lecce
Couto	Como	D	8	70.48		Scommessa	Terza	Bonus	13.55	Prezzo N.D.										Fiorentina Frosinone Genoa
Theate	Bologna	D	8	70.48		Titolare	Quarta	Bonus	3.25	Prezzo N.D.										Atalanta Lecce Napoli
Diego Carlos	Parma	D	8	70.48		Cartellini	Quarta	Mod.	2.35	Prezzo N.D.										Lecce Sassuolo Milan
Hien	Atalanta	D	7	68.81		Cartellini	Scommessa	Mod.	1.7	7.05	4.41	0.59	28	5.91	5.86	1	0	5		Frosinone Bologna Cagliari
Lucumì	Juventus	D	7	68.81		Mod.	jolly	Cartellini	9.35	7.05	4.41	0.59	28	5.88	5.89	1	0	5		Torino Genoa Roma
Zortea	Bologna	D	7	68.81		Mod.	Quarta	Jolly	3.95	6.94	0	0.58	28	5.86	5.89	0	2	2		Atalanta Lecce Napoli
Mina	Cagliari	D	7	68.81		Titolare	Quarta	Bonus	4.4	7.24	8.82	0.6	26	6	6.17	2	1	3		Atalanta Fiorentina Venezia
Obert	Cagliari	D	7	68.81		Cartellini	Quarta	Titolare	2.1	6.71	0	0.56	34	5.88	5.82	0	3	8		Atalanta Fiorentina Venezia
Dragusin	Fiorentina	D	7	68.81					8.05	Prezzo N.D.										Cagliari Como Lazio
Jimenez A.	Fiorentina	D	7	68.81			Semi-Top	Cartellini	10.35	4.8	0	0.4	1	5.5	5	0	0	1		Cagliari Como Lazio
Bracaglia	Frosinone	D	7	68.81		Bonus	Quarta	Titolare	1.8	Prezzo N.D.										Atalanta Como Napoli
Tavares N.	Lazio	D	7	68.81		Bonus	jolly	Infortuni	5	6.31	0	0.52	22	5.91	5.8	0	0	5		Roma Genoa Torino
Gabbia	Milan	D	7	68.81		Mod.	jolly	Infortuni	3.1	6.82	0	0.57	29	5.91	5.84	0	0	4		Inter Parma Cagliari
Mangas	Monza	D	7	68.81			Quarta		3.25	Prezzo N.D.										Lecce Venezia Atalanta
Idzes	Sassuolo	D	7	68.81		Mod.	Quarta		2.25	7.29	0	0.61	35	5.94	5.9	0	0	3		Inter Parma Bologna
Coco	Torino	D	7	68.81		Titolare	Quarta	Mod.	2.2	7.63	4.41	0.63	35	5.84	5.91	1	1	3		Juventus Lazio Lecce
Ismajli	Torino	D	7	68.81		Infortuni	Quarta	Mod.	1.4	6.54	0	0.54	24	5.92	5.9	0	2	5		Juventus Lazio Lecce
Badiashile	Napoli	D	7	68.81		Scommessa	jolly		3.95	Prezzo N.D.										Roma Bologna Frosinone
Sutalo J.	Lazio	D	7	68.81		Scommessa	jolly		1.85	Prezzo N.D.										Roma Genoa Torino
Belghali	Torino	D	7	68.81		Bonus	Quarta	Mod.	2.7	Prezzo N.D.										Juventus Lazio Lecce
Sugawara	Cagliari	D	6	66.78			Scommessa		0.95	Prezzo N.D.										Atalanta Fiorentina Venezia
Kolasinac	Atalanta	D	6	66.78		Mod.	Quarta	Infortuni	1.3	5.15	0	0.51	17	6.03	5.94	0	0	3		Frosinone Bologna Cagliari
Bellanova	Atalanta	D	6	66.78		Bonus	jolly	Mod.	4.95	5.39	0	0.54	22	5.82	5.82	0	1	2		Frosinone Bologna Cagliari
Bernasconi	Atalanta	D	6	66.78		Scommessa	Terza	Mod.	8.9	5.58	0	0.56	22	6.09	6.16	0	3	3		Frosinone Bologna Cagliari
Heggem	Bologna	D	6	66.78		Mod.	titolare		2.2	5.36	0	0.54	25	5.84	5.8	0	0	0		Atalanta Lecce Napoli
Holm	Bologna	D	6	66.78		Bonus	jolly	Infortuni	1.5	5.49	4.41	0.55	16	6.09	6.44	1	4	1		Atalanta Lecce Napoli
Kaiki	Como	D	6	66.78			jolly		4.75	Prezzo N.D.										Fiorentina Frosinone Genoa
Valle	Como	D	6	66.78		Bonus	Terza	Jolly	4.95	6.08	4.41	0.61	26	6.06	6.23	1	3	3		Fiorentina Frosinone Genoa
Viery	Fiorentina	D	6	66.78			jolly		2	Prezzo N.D.										Cagliari Como Lazio
Monterisi	Frosinone	D	6	66.78			titolare		1.75	Prezzo N.D.										Atalanta Como Napoli
Oyono A.	Frosinone	D	6	66.78		Bonus	Quarta		1.2	Prezzo N.D.										Atalanta Como Napoli
Marcandalli	Genoa	D	6	66.78		Scommessa	Quarta	Mod.	2.9	5.8	0	0.58	31	5.87	5.84	0	1	4		Juventus Bologna Como
Pavard	Inter	D	6	66.78			jolly		1.95	4.73	0	0.47	1	6.5	6.5	0	0	0		Milan Sassuolo Juventus
Carlos Augusto	Inter	D	6	66.78			jolly	Bonus	4.35	5.99	4.41	0.6	28	6.12	6.16	1	1	6		Milan Sassuolo Juventus
Romagnoli	Lazio	D	6	66.78		Mod.	jolly	Cartellini	1.65	5.59	0	0.56	32	6.03	5.92	0	0	5		Roma Genoa Torino
Pedraza	Lazio	D	6	66.78		Scommessa	Quarta	Jolly	2	Prezzo N.D.										Roma Genoa Torino
Marusic	Lazio	D	6	66.78		Mod.	jolly	Infortuni	1.65	6.13	4.41	0.61	33	5.86	5.97	1	2	1		Roma Genoa Torino
Veiga D.	Lecce	D	6	66.78		Inaffidabile	titolare		1.45	5.75	0	0.57	36	5.82	5.69	0	0	9		Parma Bologna Fiorentina
Gallo	Lecce	D	6	66.78		Titolare	Quarta	Bonus	2.25	6.28	0	0.63	37	5.95	5.99	0	3	3		Parma Bologna Fiorentina
Tomori	Milan	D	6	66.78		Infortuni	Scommessa	Mod.	1.25	5.55	0	0.55	32	5.97	5.88	0	1	6		Inter Parma Cagliari
Beukema	Napoli	D	6	66.78		Mod.	Scommessa	Jolly	1.65	6.06	8.82	0.6	22	5.93	6.16	2	0	2		Roma Bologna Frosinone
Buongiorno	Napoli	D	6	66.78		Mod.	jolly	Infortuni	2.2	5.91	0	0.59	32	5.89	5.88	0	1	3		Roma Bologna Frosinone
Kristensen T.	Atalanta	D	6	66.78		Inaffidabile	Quarta	Cartellini	6.1	6.6	13.23	0.66	28	5.98	6.23	3	0	4		Frosinone Bologna Cagliari
Obrador	Sassuolo	D	6	66.78		Mod.	jolly	Bonus	2.15	Prezzo N.D.										Inter Parma Bologna
Fortini	Torino	D	6	66.78		Scommessa	jolly	Mod.	1.7	Prezzo N.D.										Juventus Lazio Lecce
Leysen F.	Sassuolo	D	6	66.78		Scommessa	titolare		1.1	Prezzo N.D.										Inter Parma Bologna
Balerdi	Roma	D	6	66.78		Scommessa	jolly		1.35	Prezzo N.D.										Lazio Napoli Juventus
Caleta-Car	Sassuolo	D	6	66.78					0.95	Prezzo N.D.										Inter Parma Bologna
Patterson	Torino	D	5	64.25		Scommessa	jolly		1.1	Prezzo N.D.										Juventus Lazio Lecce
Kofler	Cagliari	D	5	64.25					1.05	Prezzo N.D.										Atalanta Fiorentina Venezia
Zè Pedro	Cagliari	D	5	64.25		Inaffidabile	titolare		1.35	4.14	0	0.51	22	5.77	5.68	0	1	6		Atalanta Fiorentina Venezia
Kempf	Como	D	5	64.25		Mod.	jolly		2.8	5.72	17.64	0.71	29	6.12	6.52	4	1	3		Fiorentina Frosinone Genoa
Valdepenas	Fiorentina	D	5	64.25			Terza		7.65	Prezzo N.D.										Cagliari Como Lazio
Calvani	Frosinone	D	5	64.25			titolare	Mod.	1.15	Prezzo N.D.										Atalanta Como Napoli
Kelly L.	Juventus	D	5	64.25		Titolare	Terza	Mod.	2.9	5.13	4.41	0.64	35	6.01	6.07	1	1	4		Torino Genoa Roma
Gaspar K.	Lecce	D	5	64.25		Mod.	Quarta	Infortuni	1.55	3.88	0	0.48	21	5.83	5.64	0	0	6		Parma Bologna Fiorentina
De Winter	Milan	D	5	64.25		Cartellini	Quarta	Infortuni	3.1	4.67	4.41	0.58	24	5.75	5.9	1	1	1		Inter Parma Cagliari
Olivera	Napoli	D	5	64.25		Jolly	Scommessa		1.5	4.22	0	0.53	22	5.75	5.68	0	0	3		Roma Bologna Frosinone
Ghilardi	Roma	D	5	64.25		Cartellini	Scommessa		1.25	4.36	0	0.54	21	5.98	5.95	0	0	1		Lazio Napoli Juventus
Doig	Sassuolo	D	5	64.25		Inaffidabile	titolare	Bonus	1.55	4.4	0	0.55	27	5.85	5.76	0	0	5		Inter Parma Bologna
Bella-Kotchap	Venezia	D	5	64.25			titolare		1.65	4.08	0	0.51	18	5.83	5.75	0	0	3		Cagliari Monza Bologna
Correia T.	Venezia	D	5	64.25		Scommessa	jolly		1.4	Prezzo N.D.										Cagliari Monza Bologna
Haps	Venezia	D	5	64.25		Titolare	Quarta	Bonus	1.9	Prezzo N.D.										Cagliari Monza Bologna
Kossounou	Atalanta	D	4	60.96		Infortuni	jolly	Mod.	1.95	3.34	4.41	0.55	16	5.94	6.09	1	0	1		Frosinone Bologna Cagliari
Vitik	Bologna	D	4	60.96			Scommessa	Jolly	1.2	3.14	0	0.51	18	5.94	5.86	0	0	3		Atalanta Lecce Napoli
Rodriguez Ju.	Cagliari	D	4	60.96		Inaffidabile	titolare		1.4	3.16	4.41	0.52	16	5.62	5.72	1	0	3		Atalanta Fiorentina Venezia
Smolcic I.	Como	D	4	60.96		Cartellini	Scommessa	Inaffidabile	1.2	3.24	0	0.53	25	5.96	5.84	0	1	8		Fiorentina Frosinone Genoa
Pongracic	Fiorentina	D	4	60.96		Cartellini	Scommessa	Infortuni	1	3.38	0	0.56	35	5.84	5.67	0	0	12		Cagliari Como Lazio
Parisi	Fiorentina	D	4	60.96		Cartellini	Scommessa	Bonus	1.1	3.44	4.41	0.56	23	6.02	5.98	1	1	6		Cagliari Como Lazio
Cittadini	Frosinone	D	4	60.96			titolare		1.05	Prezzo N.D.										Atalanta Como Napoli
Mitaj	Genoa	D	4	60.96			Scommessa	Bonus	1.3	Prezzo N.D.										Juventus Bologna Como
Gatti	Juventus	D	4	60.96		Cartellini	Scommessa	Bonus	1.35	3.48	8.82	0.57	16	5.94	6.22	2	0	3		Torino Genoa Roma
Provstgaard	Lazio	D	4	60.96		Scommessa	Quarta		1.35	3.29	0	0.54	23	5.91	5.85	0	0	3		Roma Genoa Torino
Floriani Mussolini	Lazio	D	4	60.96		Scommessa	jolly		1.75	3.28	0	0.54	23	5.72	5.72	0	1	2		Roma Genoa Torino
Siebert	Lecce	D	4	60.96		Inaffidabile	titolare		1.1	3.28	4.41	0.54	19	5.68	5.76	1	0	3		Parma Bologna Fiorentina
Birindelli	Monza	D	4	60.96		Bonus	Quarta	Cartellini	1.85	Prezzo N.D.										Lecce Venezia Atalanta
Valenti	Parma	D	4	60.96		Titolare	Scommessa	Infortuni	1.25	3.31	0	0.54	27	5.96	5.83	0	0	7		Lecce Sassuolo Milan
Rensch	Roma	D	4	60.96			jolly	Infortuni	1.55	3.61	4.41	0.59	19	6.16	6.5	1	4	1		Lazio Napoli Juventus
Walukiewicz	Sassuolo	D	4	60.96		Inaffidabile	Scommessa		1.2	3.51	0	0.58	34	5.81	5.74	0	1	7		Inter Parma Bologna
Comert	Torino	D	4	60.96			Quarta		1.25	Prezzo N.D.										Juventus Lazio Lecce
Kabasele	Udinese	D	4	60.96		Bonus	Quarta	Titolare	1.6	3.83	13.23	0.63	28	5.98	6.18	3	0	5		Genoa Lecce Milan
Bertola	Udinese	D	4	60.96		Inaffidabile	Scommessa		1.3	3.36	0	0.55	25	5.86	5.84	0	1	3		Genoa Lecce Milan
Zanoli	Udinese	D	4	60.96		Bonus	Scommessa		1.15	3.52	4.41	0.58	19	6.05	6.29	1	2	1		Genoa Lecce Milan
Arizala	Udinese	D	4	60.96					1.25	2.77	0	0.45	5	5.8	5.8	0	0	0		Genoa Lecce Milan
Moreno M.	Venezia	D	4	60.96		Infortuni	Scommessa		1	Prezzo N.D.										Cagliari Monza Bologna
Hainaut	Venezia	D	4	60.96		Bonus	Terza	Scommessa	1.45	Prezzo N.D.	0	0. N.D.	0	0	0	0	0	0		Cagliari Monza Bologna
Terzic	Frosinone	D	4	60.96			Scommessa	Jolly	1.1	Prezzo N.D.										Atalanta Como Napoli
Favasuli	Napoli	D	4	60.96		Jolly	Scommessa		1.2	Prezzo N.D.										Roma Bologna Frosinone
Juan Jesus	Venezia	D	4	60.96		Inaffidabile	titolare		1.1	Prezzo N.D.										Cagliari Monza Bologna
Drameh	Genoa	D	3	56.34			Quarta		1.05	Prezzo N.D.										Juventus Bologna Como
Casale	Bologna	D	3	56.34		Jolly		Infortuni	0.95	1.99	0	0.47	10	5.65	5.65	0	0	0		Atalanta Lecce Napoli
Helland	Bologna	D	3	56.34			titolare		1.2	1.81	0	0.43	6	5.5	5.33	0	0	2		Atalanta Lecce Napoli
Idrissi R.	Cagliari	D	3	56.34		Bonus	Scommessa	Jolly	1.1	2.4	8.82	0.57	17	5.82	6.09	2	0	3		Atalanta Fiorentina Venezia
Ranieri L.	Fiorentina	D	3	56.34		Cartellini	Scommessa	Bonus	1.25	2.36	4.41	0.56	31	5.85	5.79	1	0	8		Cagliari Como Lazio
Joao Mario	Fiorentina	D	3	56.34		Bonus	jolly	Scommessa	1.95	2.23	4.41	0.53	14	5.79	6	1	1	2		Cagliari Como Lazio
Akpoguma	Frosinone	D	3	56.34			Scommessa	Infortuni	1.1	Prezzo N.D.										Atalanta Como Napoli
Estupinan	Milan	D	3	56.34		Inaffidabile	Scommessa	Jolly	1.5	2.02	4.41	0.48	14	5.64	5.71	1	1	5		Inter Parma Cagliari
Lucchesi	Monza	D	3	56.34		Inaffidabile	titolare	Cartellini	1	Prezzo N.D.										Lecce Venezia Atalanta
Kouadio	Monza	D	3	56.34		Scommessa	titolare		1.2	1.88	0	0.44	1	6	6	0	0	0		Lecce Venezia Atalanta
Carboni A.	Monza	D	3	56.34		Bonus	titolare	Infortuni	1.2	Prezzo N.D.										Lecce Venezia Atalanta
Troilo	Parma	D	3	56.34		Inaffidabile	titolare	Cartellini	1.5	2.08	4.41	0.49	21	5.79	5.71	1	0	5		Lecce Sassuolo Milan
Britschgi	Parma	D	3	56.34			Scommessa	Bonus	1.1	2.24	0	0.53	28	5.75	5.7	0	2	5		Lecce Sassuolo Milan
Candè	Sassuolo	D	3	56.34		Inaffidabile			1.05	1.91	0	0.45	8	5.69	5.56	0	0	2		Inter Parma Bologna
Palma	Udinese	D	3	56.34		Infortuni	Scommessa		1.4	1.82	0	0.43	4	5.5	5.5	0	0	0		Genoa Lecce Milan
Ebosse	Udinese	D	3	56.34		Inaffidabile	Scommessa		1.1	2.08	0	0.49	16	5.75	5.72	0	1	4		Genoa Lecce Milan
Halhal	Venezia	D	3	56.34			Scommessa		1.1	Prezzo N.D.										Cagliari Monza Bologna
Schingtienne	Venezia	D	3	56.34			titolare		1.25	Prezzo N.D.										Cagliari Monza Bologna
Sverko	Venezia	D	3	56.34		Cartellini			0.9	Prezzo N.D.										Cagliari Monza Bologna
Franjic	Venezia	D	3	56.34			Scommessa		1.05	Prezzo N.D.										Cagliari Monza Bologna
