nome	squadra	tag	nota	fonti
Dimarco	Inter	MODIFICATORE;TITOLARE	Listato difensore ma di fatto un esterno offensivo: top assoluto del ruolo, miglior fantamedia della scorsa stagione fra i difensori.	FantaMaster;Sky
Thuram	Inter	TITOLARE;RISCHIO	Recuperato dall'infortunio al polpaccio ma con la titolarita' della prima giornata ancora a rischio.	FantaMaster
Barella	Inter	TITOLARE	Inamovibile nel 3-5-2 di Chivu.	DAZN
Akanji	Inter	MODIFICATORE;TITOLARE	Braccetto destro del terzetto che unisce fisicita', letture preventive e impostazione.	DAZN
Bastoni	Inter	MODIFICATORE;TITOLARE	Titolare fisso nella difesa a tre campione d'Italia.	DAZN
Stones	Inter	MODIFICATORE;TITOLARE	Centrale del terzetto titolare di Chivu.	DAZN
Martinez Jo.	Inter	TITOLARE	Portiere titolare dell'Inter campione d'Italia.	DAZN
Yildiz	Juventus	RIGORISTA;TITOLARE	In ballottaggio con Locatelli per i rigori, con Kolo Muani outsider: numero 10 titolare del 4-2-3-1.	SNAI;Sky
Kolo Muani	Juventus	TITOLARE	Spalletti costruisce la Juve su misura per lui: impatto gia' positivo nel semestre da gennaio a giugno 2025.	Sky
Locatelli	Juventus	RIGORISTA;TITOLARE	Contende i rigori a Yildiz, titolare in mediana.	SNAI
Bremer	Juventus	MODIFICATORE;TITOLARE	Primo slot: dopo Dimarco e' stato il difensore con la miglior fantamedia della scorsa stagione.	FantaMaster
Kalulu	Juventus	MODIFICATORE;TITOLARE	Definito una garanzia sicura per il modificatore di difesa.	SOS Fanta
Alajbegovic	Juventus	SCOMMESSA	Talento cristallino con bonus nelle gambe: giovanissimo che incide anche da subentrato.	Fantacalcio.it
Ekhator	Juventus	SCOMMESSA;RISCHIO	Sei crediti per un attaccante di prospettiva, ma lesione al bicipite femorale con rientro a fine agosto.	Sisal;FantaMaster
Thuram K.	Juventus	RISCHIO	Antiscommessa: concorrenza folta in mediana, stagione scorsa opaca e preparazione estiva saltata per problemi fisici.	Fantacalcio.it
Koopmeiners	Juventus	RISCHIO	Bocciato: difficilmente Spalletti gli concedera' spazio con continuita'.	FantaMaster
Zaccagni	Lazio	RIGORISTA;TITOLARE	Primo rigorista e capitano, con Cataldi come alternativa piu' che credibile.	SNAI;Sky
Doekhi	Lazio	NUOVO;SCOMMESSA;MODIFICATORE	Centrale dall'Union Berlino: fisicita' e fiuto del gol, fra 6 e 8 reti nell'ultima stagione, a prezzo basso. Sostituisce Gila.	Goal;Fantacalcio.it
Isaksen	Lazio	RISCHIO	Operato di pubalgia: rientro fra fine agosto e inizio settembre, salta le prime giornate.	Goal;SOS Fanta
Marusic	Lazio	MODIFICATORE;TITOLARE	Terzino destro titolare di Gattuso, atteso a una spinta piu' continua e quindi a un contributo assist.	SOS Fanta
Mandas	Lazio	TITOLARE	Tornato alla Lazio, si candida come titolare fra i pali.	SOS Fanta;FantaMaster
Rovella	Lazio	TITOLARE	Play titolare nel 4-2-3-1 di Gattuso.	FantaMaster
Taylor K.	Lazio	TITOLARE	Titolare in mediana accanto a Rovella.	FantaMaster
Noslin	Lazio	RISCHIO	Antiscommessa: duttile ma dietro quasi tutti gli attaccanti in rosa nelle gerarchie.	Fantacalcio.it
Geubbels	Lecce	RIGORISTA;TITOLARE	Primo rigorista con 7 su 7 in carriera dal dischetto, davanti a Stulic e Pierotti.	SOS Fanta;CalcioD'Angolo
Falcone	Lecce	TITOLARE	Portiere titolare del 4-3-3 di Di Francesco.	MAM-e
Pierotti	Lecce	TITOLARE	Titolare nel tridente, terza opzione dal dischetto.	MAM-e;SOS Fanta
Ramos G.	Milan	RIGORISTA;TITOLARE	Primo rigorista con 11 su 13 in carriera: Amorim punta tutto sulla sua forza fisica come punta unica del 3-4-2-1.	SNAI;Sky;FantaMaster
Pulisic	Milan	RIGORISTA;RISCHIO;TITOLARE	Trequartista titolare e secondo rigorista, ma microfrattura tibia-perone con edema osseo: convocazione molto difficile per la prima.	SNAI;SOS Fanta;CalcioD'Angolo
Gila	Milan	MODIFICATORE;TITOLARE	Ottimo impatto nelle amichevoli: consigliato come secondo o terzo slot per le garanzie sul modificatore.	SOS Fanta
Maignan	Milan	TITOLARE	Titolare confermato nel 3-4-2-1 di Amorim.	Sky;MAM-e
Modric	Milan	TITOLARE	Insieme a Rabiot ha rivoluzionato il centrocampo rossonero.	Sky
Rabiot	Milan	TITOLARE	Titolare in mediana nel nuovo Milan.	Sky
Saelemaekers	Milan	TITOLARE	Trequartista titolare accanto a Pulisic nel 3-4-2-1.	Sky;MAM-e
Bartesaghi	Milan	TITOLARE	Quinto di sinistra a tutta fascia nello schema di Amorim.	Sky;MAM-e
Camarda	Milan	SCOMMESSA	Elogiato da Amorim nella pre-stagione.	Sky
Pessina	Monza	RIGORISTA;RISCHIO	Primo rigorista e capitano, ma operato per lussazione rotulea: in dubbio addirittura per la nona giornata.	Goal;SOS Fanta;CalcioD'Angolo
Cutrone	Monza	RIGORISTA;SCOMMESSA;TITOLARE	Con Pessina fuori calcia lui i rigori: puo' tornare quello del primo anno di Como.	SOS Fanta;CalcioD'Angolo
Colpani	Monza	TITOLARE	Trequartista titolare nel 3-4-2-1 di Juric.	MAM-e
Thiam	Monza	TITOLARE	Portiere titolare del Monza neopromosso.	MAM-e
Mctominay	Napoli	TITOLARE	Secondo nome consigliato da Sky in assoluto: Allegri predilige il suo profilo, potrebbe essere il nuovo Rabiot. In doppia cifra la scorsa stagione.	Sky;FantaMaster
De Bruyne	Napoli	RIGORISTA;TITOLARE	Rigorista designato quando in campo, con Hojlund alternativa.	SNAI;Sky
Hojlund	Napoli	RIGORISTA;TITOLARE	Punta centrale del 4-3-3 di Allegri, seconda opzione dal dischetto.	SNAI;Sky
Rrahmani	Napoli	MODIFICATORE;TITOLARE	Fantamedia 6.48 con 2 gol e solo due ammonizioni: profilo ideale per il modificatore di difesa.	SOS Fanta
Buongiorno	Napoli	RISCHIO	Operato al menisco: rientro previsto a fine novembre.	Goal
Beukema	Napoli	RISCHIO;TITOLARE	Problema al tendine d'Achille: rientro fra fine agosto e inizio settembre.	IlNapoliOnline;SOS Fanta
Neres	Napoli	RISCHIO	Ritardo di condizione segnalato alla vigilia del campionato.	IlNapoliOnline;SOS Fanta
Vergara	Napoli	SCOMMESSA	Parte dietro De Bruyne ma puo' avere parecchio spazio ed essere decisivo anche dalla panchina.	Fantacalcio.it
Di Lorenzo	Napoli	MODIFICATORE;TITOLARE	Terzino destro inamovibile nel 4-3-3 di Allegri.	Sky
Spinazzola	Napoli	TITOLARE	Titolare sulla corsia mancina.	Sky
Politano	Napoli	TITOLARE	Titolare nel tridente offensivo.	Sky
Santos A.	Napoli	TITOLARE	Riclassificato centrocampista, titolare nel tridente: abituato a occupare zone avanzate del campo.	Sky;FantaMaster
Meret	Napoli	TITOLARE	Titolare fra i pali nel Napoli di Allegri.	Sky
Lobotka	Napoli	TITOLARE	Regista titolare del centrocampo azzurro.	Sky
Tourè E.	Parma	RIGORISTA;TITOLARE	Nuovo rigorista dopo la partenza di Pellegrino: 3 su 3 dal dischetto con i club.	SNAI;SOS Fanta
Delprato	Parma	TITOLARE	Capitano, titolare come esterno destro nel 3-5-2.	MAM-e
Bernabè	Parma	TITOLARE	Faro tecnico del centrocampo ducale.	MAM-e
Malen	Roma	RIGORISTA;TITOLARE	Nel primo semestre 2026 ha segnato il doppio dei gol dell'esperienza inglese con meta' delle presenze; ora insidia Dybala anche dal dischetto. Insieme a Lautaro e' il nome che prosciuga il budget.	Sky;SNAI;FantaMaster
Dybala	Roma	RIGORISTA;TITOLARE	Storico rigorista giallorosso, ora insidiato da Malen: la gerarchia dal dischetto non e' piu' garantita.	SNAI;Sky
Soulè	Roma	RIGORISTA;TITOLARE	Terza scelta dal dischetto, titolare sulla trequarti di Gasperini.	SNAI
Castro S.	Roma	NUOVO;SCOMMESSA	Arriva dal Bologna per 35 milioni piu' 2 di bonus: non parte con la garanzia del posto, ma con Gasperini puo' aumentare parecchio il proprio score offensivo.	Tuttosport;FantaMaster
Mancini	Roma	MODIFICATORE;TITOLARE	Fantamedia 6.51 con 4 gol e 2 assist nell'ultima Serie A: uno dei migliori per il modificatore.	SOS Fanta
Svilar	Roma	TITOLARE	Portiere titolare, fra i piu' quotati del ruolo.	Sky;MAM-e
Wesley	Roma	TITOLARE	Esterno a tutta fascia titolare nel 3-4-2-1 di Gasperini.	MAM-e
Konè M.	Roma	TITOLARE	Titolare in mediana accanto a Cristante.	MAM-e
N'Dicka	Roma	MODIFICATORE;TITOLARE	Centrale titolare della difesa a tre.	MAM-e
Berardi	Sassuolo	RIGORISTA;RISCHIO;TITOLARE	Rigorista inamovibile con Pinamonti vice, ma ancora fuori: ha saltato la Coppa Italia col Cesena.	SNAI;SOS Fanta
Konè I.	Sassuolo	RISCHIO	Frattura di tibia e perone con intervento di riduzione: rientro previsto a gennaio 2027.	Goal;CalcioD'Angolo
Laurientè	Sassuolo	TITOLARE	Titolare nel reparto offensivo neroverde.	MAM-e
Muric	Sassuolo	TITOLARE	Portiere titolare del Sassuolo di Aquilani.	MAM-e
Vlasic	Torino	RIGORISTA;TITOLARE	Rigorista ormai stabile davanti a Zapata e Simeone, trequartista titolare del 3-4-2-1 di Abate.	SNAI;MAM-e
Simeone	Torino	RIGORISTA;TITOLARE	Punta titolare, terza opzione dal dischetto.	SNAI;MAM-e
Paleari	Torino	TITOLARE	Indicato come portiere titolare del Torino di Abate.	MAM-e
Coco	Torino	TITOLARE	Centrale titolare della difesa a tre granata.	MAM-e
Davis K.	Udinese	RIGORISTA;TITOLARE	Primo rigorista bianconero, con Solet e Zaniolo alle spalle: fa reparto da solo.	SNAI;MAM-e
Zaniolo	Udinese	RIGORISTA;TITOLARE	Perno offensivo dell'Udinese e terza opzione dal dischetto.	SNAI;MAM-e
Solet	Udinese	RIGORISTA;MODIFICATORE;TITOLARE	Seconda opzione dal dischetto, caso raro di difensore nelle gerarchie dei rigori.	SNAI;MAM-e
Vojvoda	Udinese	SCOMMESSA;TITOLARE	Cinque crediti per un jolly tattico capace di ricoprire piu' ruoli, titolare nel 3-5-2.	Sisal;MAM-e
Palma	Udinese	SCOMMESSA	Un credito, scommessa a costo minimo con potenziale di crescita negli spazi.	Sisal
Okoye	Udinese	TITOLARE	Portiere titolare del 3-5-2 di Runjaic.	MAM-e
Ekkelenkamp	Udinese	TITOLARE	Titolare in mediana nel centrocampo a cinque.	MAM-e
Adams A.	Venezia	RIGORISTA;NUOVO;TITOLARE	Primo rigorista con 3 su 3 al Siviglia: doppia garanzia dal dischetto insieme a Rrahmani.	SNAI;SOS Fanta
Rrahmani Al.	Venezia	RIGORISTA;NUOVO;SCOMMESSA	Secondo rigorista con 14 su 18 prima di arrivare in Italia, e 15 gol con lo Sparta Praga.	SNAI;Sisal;SOS Fanta
Yeboah J.	Venezia	RIGORISTA;SCOMMESSA	Terzo rigorista, l'uomo che inventa negli ultimi venti metri.	SOS Fanta
Stankovic F.	Venezia	TITOLARE	Portiere titolare del Venezia neopromosso di Stroppa.	SOS Fanta
