nome	squadra	ruolo	pg1	mv1	fm1	gol1	assist1	amm1	gs1	pg2	mv2	fm2	gol2	gs2
Russo A.	Sassuolo	P	0	0	0	0	0	0						
Mascardi	Torino	P												
Siviero	Torino	P	0	0	0	0	0	0						
Piana	Udinese	P								0	0	0	0	
Grandi	Venezia	P								0	0	0	0	
Pozzi	Venezia	P												
Rossi F.			0	0	0	0	0	0		0	0	0	0	
Sportiello	Atalanta	P	1	5.5	4.5	0	0	0		2	6	5	0	
Pessina Mas.	Bologna	P	4	6.12	5.62	0	0	0						
Ciocci			0	0	0	0	0	0		0	0	0	0	
Sherri	Cagliari	P	0	0	0	0	0	0		7	5.86	4.29	0	
Tornqvist	Monza	P	0	0	0	0	0	0						
Vigorito	Como	P	0	0	0	0	0	0		0	0	0	0	
Christensen O.	Fiorentina	P	1	7.5	6.5	0	0	0		0	0	0	0	
Lezzerini	Fiorentina	P	0	0	0	0	0	0						
Sommariva	Genoa	P	2	5.75	3.75	0	0	0		1	7	6	0	
Di Gennaro	Inter	P	1	6	5	0	0	0		0	0	0	0	
Pinsoglio	Juventus	P	0	0	0	0	0	0		0	0	0	0	
Motta	Lazio	P	9	6	5.17	0	0	1						
Fruchtl			0	0	0	0	0	0		0	0	0	0	
Samooja			0	0	0	0	0	0		0	0	0	0	
Terracciano	Milan	P	2	6	6	0	0	0		3	6.17	5.17	0	
Torriani	Milan	P	0	0	0	0	0	0		0	0	0	0	
Contini	Napoli	P	0	0	0	0	0	0		0	0	0	0	
Corvi	Parma	P	17	6.18	5.09	0	0	1		0	0	0	0	
Gollini	Roma	P	0	0	0	0	0	0		7	5.86	4.07	0	
Turati	Sassuolo	P	6	6.17	5	0	0	0		30	6.3	4.75	0	
Paleari	Torino	P	29	6.09	4.52	0	0	1		1	6.5	3.5	0	
Padelli	Udinese	P	2	6.25	5.25	0	0	0		1	6.5	6.5	0	
Dimarco	Inter	D	35	6.6	7.64	7	17	3		32	6.31	6.86	4	
Wesley	Roma	D	30	6.12	6.47	5	0	5						
Akanji	Inter	D	32	6.28	6.41	2	0	4						
Bremer	Juventus	D	26	6.33	6.81	4	3	5		6	6.5	6.42	0	
Mancini	Roma	D	36	6.25	6.51	4	2	9		37	6.18	6.26	2	
Bastoni	Inter	D	28	6.2	6.34	1	4	6		32	6.42	6.55	1	
Pavlovic	Milan	D	34	6.24	6.62	5	0	4		22	5.91	6.11	2	
Rrahmani	Napoli	D	21	6.24	6.45	2	0	3		38	6.14	6.17	1	
Kalulu	Juventus	D	37	6.14	6.35	2	4	2		28	6.02	6.05	1	
N'Dicka	Roma	D	31	6.08	6.32	3	1	5		38	6.05	6.03	0	
Solet	Udinese	D	34	6.18	6.4	3	1	1		19	6.16	6.29	1	
Stones	Inter	D												
Gila	Milan	D	31	6.03	5.95	0	0	3		32	6.05	5.95	1	
Di Lorenzo	Napoli	D	26	6.08	6.33	2	1	1		37	6.15	6.36	3	
Ostigard	Genoa	D	30	6.13	6.52	5	0	7						
Bisseck	Inter	D	23	6.22	6.65	3	2	2		27	6	6.33	3	
Scalvini	Atalanta	D	24	6.06	6.44	3	1	2		4	5.5	5.25	0	
Ramon	Como	D	32	6.16	6.14	2	0	11						
Dodò	Fiorentina	D	36	5.99	6.03	1	2	7						
Hermoso	Roma	D	27	6.17	6.41	3	2	9		4	5.12	4.88	0	
Vasquez	Genoa	D	36	6.08	6.14	1	0	2		36	6.06	6.18	3	
Cambiaso	Juventus	D	36	5.81	5.99	3	4	3		32	6.09	6.31	2	
Dragusin	Fiorentina	D												
Jimenez A.	Fiorentina	D	1	5.5	5	0	0	1		21	5.95	5.83	0	
Koulierakis	Roma	D												
Hien	Atalanta	D	28	5.91	5.86	1	0	5		29	5.95	5.78	0	
Zappacosta	Atalanta	D	35	6.06	6.3	3	1	3		30	5.98	6.4	4	
Lucumì	Juventus	D	28	5.88	5.89	1	0	5						
Miranda J.	Bologna	D	31	6	6.1	1	3	6		29	6.05	6.16	0	
Mina	Cagliari	D	26	6	6.17	2	1	3		31	6.06	6.06	1	
Norton-Cuffy			27	5.93	6.09	2	1	3		10	5.7	5.7	0	
Celik	Juventus	D	32	6.17	6.27	1	2	2		30	5.78	5.77	0	
Bartesaghi	Milan	D	31	5.97	6.05	2	0	3		3	5.33	5	0	
Spinazzola	Napoli	D	30	6.17	6.55	3	3	1		23	6.07	6.22	1	
Delprato	Parma	D	35	5.91	6.01	2	0	5		34	6.03	6.21	4	
Valeri	Parma	D	34	6.06	6.09	0	2	2		34	5.94	6.25	2	
Vojvoda	Udinese	D	27	6.02	6.24	2	1	2		27	5.96	6.04	1	
Kaiki	Como	D												
Doekhi	Lazio	D												
Djimsiti			33	5.86	5.8	0	0	4		33	5.88	5.88	1	
Obert	Cagliari	D	34	5.88	5.82	0	3	8		19	5.95	6.05	1	
Carlos Augusto	Inter	D	28	6.12	6.16	1	1	6		28	6.2	6.61	3	
Romagnoli	Lazio	D	32	6.03	5.92	0	0	5		32	5.84	5.91	2	
Tiago Gabriel	Lecce	D	36	6	6.01	2	0	7		2	6.25	6.25	0	
Gabbia	Milan	D	29	5.91	5.84	0	0	4		25	6.04	6.2	2	
Tomori	Milan	D	32	5.97	5.88	0	1	6		18	5.86	5.81	0	
Buongiorno	Napoli	D	32	5.89	5.88	0	1	3		22	6.36	6.45	1	
Idzes	Sassuolo	D	35	5.94	5.9	0	0	3		35	5.96	5.97	1	
Coco	Torino	D	35	5.84	5.91	1	1	3		32	5.86	5.83	2	
Ismajli	Torino	D	24	5.92	5.9	0	2	5		29	6.17	6.12	0	
Kristensen T.	Atalanta	D	28	5.98	6.23	3	0	4		21	5.57	5.6	1	
Valdepenas	Fiorentina	D												
Viery	Fiorentina	D												
Monterisi	Frosinone	D												
Pavard	Inter	D	1	6.5	6.5	0	0	0		22	6.05	6	0	
Mangas	Monza	D												
Ahanor			21	5.79	5.69	0	0	2		6	6	6	0	
Bellanova	Atalanta	D	22	5.82	5.82	0	1	2		35	6.04	6.26	0	
Bernasconi	Atalanta	D	22	6.09	6.16	0	3	3						
Heggem	Bologna	D	25	5.84	5.8	0	0	0						
Zortea	Bologna	D	28	5.86	5.89	0	2	2		35	6.07	6.6	6	
Valle	Como	D	26	6.06	6.23	1	3	3		13	5.81	5.73	0	
Marcandalli	Genoa	D	31	5.87	5.84	0	1	4		8	5.88	5.75	0	
Tavares N.	Lazio	D	22	5.91	5.8	0	0	5		23	6.28	6.5	0	
Marusic	Lazio	D	33	5.86	5.97	1	2	1		31	5.85	6.16	4	
Gallo	Lecce	D	37	5.95	5.99	0	3	3		31	5.79	5.65	0	
Beukema	Napoli	D	22	5.93	6.16	2	0	2		34	5.93	5.94	0	
Circati			31	5.92	5.92	1	0	6		6	5.83	5.75	0	
Comuzzo	Torino	D	24	5.75	5.75	1	0	2		28	5.91	5.93	1	
Kamara H.	Udinese	D	26	5.88	5.87	0	2	5		30	5.93	6.03	1	
Bella-Kotchap	Venezia	D	18	5.83	5.75	0	0	3						
Kofler	Cagliari	D												
Bracaglia	Frosinone	D												
Oyono A.	Frosinone	D												
Pedraza	Lazio	D												
Moreno M.	Venezia	D								3	5.67	5.67	0	
Haps	Venezia	D								22	5.86	5.98	1	
Kolasinac	Atalanta	D	17	6.03	5.94	0	0	3		23	6.13	5.98	0	
Vitik	Bologna	D	18	5.94	5.86	0	0	3						
Holm	Bologna	D	16	6.09	6.44	1	4	1		16	5.94	6.12	1	
Zè Pedro	Cagliari	D	22	5.77	5.68	0	1	6						
Kempf	Como	D	29	6.12	6.52	4	1	3		31	5.85	5.76	0	
Parisi	Fiorentina	D	23	6.02	5.98	1	1	6		20	6	6.22	2	
Martin			29	5.97	6.1	1	5	2		36	6.17	6.32	0	
Kelly L.	Juventus	D	35	6.01	6.07	1	1	4		12	5.67	5.62	0	
Gaspar K.	Lecce	D	21	5.83	5.64	0	0	6		24	6.17	6.15	0	
Veiga D.	Lecce	D	36	5.82	5.69	0	0	9		11	5.73	5.73	0	
Olivera	Napoli	D	22	5.75	5.68	0	0	3		30	6.08	6.05	0	
Rensch	Roma	D	19	6.16	6.5	1	4	1		8	6.06	6.19	0	
Pedersen			28	5.84	5.96	1	2	3		23	5.61	5.54	0	
Calvani	Frosinone	D												
Mitaj	Genoa	D												
Delli Carri														
Lucchesi	Monza	D								0	0	0	0	
Birindelli	Monza	D								20	5.95	6.35	3	
Comert	Torino	D												
Halhal	Venezia	D												
Correia T.	Venezia	D												
Zappa			25	5.9	5.98	0	3	2		36	5.75	5.86	2	
Smolcic I.	Como	D	25	5.96	5.84	0	1	8		8	5.81	5.75	0	
Pongracic	Fiorentina	D	35	5.84	5.67	0	0	12		17	5.85	5.65	0	
Gatti	Juventus	D	16	5.94	6.22	2	0	3		28	6.14	6.21	1	
Siebert	Lecce	D	19	5.68	5.76	1	0	3						
Valenti	Parma	D	27	5.96	5.83	0	0	7		20	5.85	5.85	1	
Ghilardi	Roma	D	21	5.98	5.95	0	0	1		24	5.73	5.54	0	
Walukiewicz	Sassuolo	D	34	5.81	5.74	0	1	7		28	5.73	5.64	0	
Doig	Sassuolo	D	27	5.85	5.76	0	0	5						
Kabasele	Udinese	D	28	5.98	6.18	3	0	5		16	5.84	6.22	2	
Bertola	Udinese	D	25	5.86	5.84	0	1	3						
Zanoli	Udinese	D	19	6.05	6.29	1	2	1		27	5.91	5.96	1	
Arizala	Udinese	D	5	5.8	5.8	0	0	0						
Akpoguma	Frosinone	D												
Cittadini	Frosinone	D												
Carboni A.	Monza	D								26	5.63	5.62	0	
Schingtienne	Venezia	D								15	5.7	5.63	0	
Sverko	Venezia	D								14	5.75	5.86	1	
Hainaut	Venezia	D	0	0	0	0	0	0		22	5.86	6.07	2	
Kossounou	Atalanta	D	16	5.94	6.09	1	0	1		17	5.94	5.91	0	
Casale	Bologna	D	10	5.65	5.65	0	0	0		15	5.63	5.53	0	
Rodriguez Ju.	Cagliari	D	16	5.62	5.72	1	0	3						
Idrissi R.	Cagliari	D	17	5.82	6.09	2	0	3						
Ranieri L.	Fiorentina	D	31	5.85	5.79	1	0	8		36	5.92	5.96	1	
Joao Mario	Fiorentina	D	14	5.79	6	1	1	2						
Provstgaard	Lazio	D	23	5.91	5.85	0	0	3		1	6.5	6.5	0	
Floriani Mussolini	Lazio	D	23	5.72	5.72	0	1	2						
De Winter	Milan	D	24	5.75	5.9	1	1	1		24	5.85	6.1	3	
Athekame			17	5.94	6.32	2	2	3						
Estupinan	Milan	D	14	5.64	5.71	1	1	5						
Kouadio	Monza	D	1	6	6	0	0	0						
Troilo	Parma	D	21	5.79	5.71	1	0	5						
Britschgi	Parma	D	28	5.75	5.7	0	2	5						
Angelino			6	5.83	5.67	0	0	2		38	6.14	6.32	2	
Candè	Sassuolo	D	8	5.69	5.56	0	0	2		17	5.76	5.82	1	
Alhassane	Bologna	D												
Puczka	Genoa	D												
Diawara S.	Milan	D												
Marin R.	Napoli	D								3	6	5.83	0	
Palma	Udinese	D	4	5.5	5.5	0	0	0						
Franjic	Venezia	D												
Sagrado	Venezia	D								3	5.5	5.33	0	
Helland	Bologna	D	6	5.5	5.33	0	0	2						
Van Der Brempt	Sassuolo	D	14	5.96	5.96	0	1	2		18	5.94	5.92	0	
Otoa	Genoa	D	10	5.6	5.35	0	0	1		3	5.17	4.67	0	
Sabelli	Genoa	D	13	5.81	5.65	0	0	0		30	5.87	5.9	0	
Lazzari	Lazio	D	17	5.79	5.74	0	0	2		22	5.89	5.86	0	
Pellegrini Lu.	Lazio	D	24	5.85	5.81	1	0	8		19	6.08	6.11	0	
Jean	Lecce	D	5	5.8	5.7	0	0	1		18	5.75	5.75	0	
Biraghi	Torino	D	11	5.59	5.59	0	0	0		21	5.83	5.86	1	
Ebosse	Udinese	D	16	5.75	5.72	0	1	4		2	5.5	5.25	0	
Cuenca A.														
Amey	Frosinone	D												
Gelli J.														
Oyono J.														
Corrado														
Vogliacco			0	0	0	0	0	0		20	5.7	5.78	2	
Matturro										12	5.62	5.54	0	
Antov	Monza	D												
Bakoune	Monza	D												
Missori			0	0	0	0	0	0						
Abankwah	Udinese	D								2	6.25	6	0	
Gomes	Venezia	D												
De Silvestri	Bologna	D	10	6.05	5.95	0	0	2		16	5.91	6.06	1	
Raterink			0	0	0	0	0	0						
Goldaniga	Como	D	0	0	0	0	0	0		30	5.83	5.73	1	
Rugani	Juventus	D	8	5.69	5.56	0	0	2		0	0	0	0	
Cabal	Juventus	D	9	5.94	6.56	2	0	1		6	6.33	6.25	0	
Patric	Lazio	D	10	5.85	5.75	0	0	2		8	5.62	5.88	1	
Perez M.			1	5	5	0	0	0						
Ndaba	Lecce	D	9	5.5	5.5	0	0	0						
Marianucci	Napoli	D	11	5.73	5.73	0	1	2		13	5.81	5.73	0	
Mazzocchi	Venezia	D	9	5.94	5.94	0	1	0		10	5.7	5.65	0	
Ndiaye	Parma	D	11	5.59	5.36	0	0	3						
Carboni F.	Parma	D	2	6	6	0	0	0		5	5.9	5.7	0	
Ziolkowski	Monza	D	9	5.94	5.78	0	0	3						
Pieragnolo	Sassuolo	D	0	0	0	0	0	0						
Mlacic			3	5.83	5.67	0	0	2						
Paz N.	Como	C	35	6.37	7.3	12	5	5		33	6.38	6.95	6	
McTominay	Napoli	C	33	6.39	7.26	10	2	1		34	6.56	7.66	12	
Calhanoglu	Inter	C	22	6.52	7.64	9	4	7		28	6.34	6.89	5	
Orsolini	Bologna	C	34	6.06	6.76	10	1	2		29	6.53	8.19	15	
Pulisic	Milan	C	27	6.15	7.07	8	4	0		34	6.38	7.49	11	
Rabiot	Milan	C	29	6.33	6.98	6	4	4						
Baturina	Como	C	25	6.3	7.14	6	3	0						
Da Cunha	Como	C	35	6.34	6.91	6	4	4		35	6.1	6.36	3	
Zaniolo	Udinese	C	31	6.26	6.77	5	5	8		18	6.03	6.22	2	
Atta	Fiorentina	C	32	6.36	6.88	5	3	3		23	6	5.89	0	
Barella	Inter	C	34	6.28	6.71	3	9	7		33	6.26	6.65	3	
McKennie	Juventus	C	34	6.13	6.68	5	6	5		31	5.94	6.18	2	
Zaccagni	Lazio	C	26	5.88	5.96	3	0	6		34	6.28	7.01	8	
De Bruyne	Napoli	C	17	6.26	7.24	5	2	1						
Vlasic	Torino	C	37	6.03	6.66	8	3	7		30	6.07	6.67	5	
Gudmundsson A.	Lazio	C	32	5.88	6.34	5	3	4		21	6.12	6.98	6	
Taylor K.	Lazio	C	17	6.06	6.56	3	2	5						
Rodriguez Je.	Como	C	28	6.25	6.66	2	8	3						
Alajbegovic	Juventus	C												
Ederson D.S.	Atalanta	C	30	6.25	6.43	2	1	3		36	6.17	6.49	4	
Samardzic	Atalanta	C	21	5.93	6.29	2	2	1		28	6.09	6.25	2	
Conceicao	Juventus	C	30	6.28	6.7	3	5	3		25	6.12	6.5	3	
Modric	Milan	C	33	6.45	6.67	2	3	4						
Rowe	Atalanta	C	28	6.2	6.59	3	3	2						
Baldanzi	Genoa	C	17	6.15	6.38	1	2	2		21	6	6.14	1	
Zambo Anguissa	Napoli	C	18	6.17	6.86	4	1	1		35	6.41	6.97	6	
Perrone	Como	C	36	6.22	6.47	3	4	8		25	5.94	5.94	0	
Zielinski	Inter	C	30	6.25	6.8	6	2	3		20	5.98	6.32	2	
Thuram K.	Juventus	C	34	6.1	6.4	3	2	2		33	6.3	6.74	4	
Saelemaekers	Milan	C	35	6.14	6.41	3	3	5		22	6.39	7.36	7	
Politano	Napoli	C	33	6.09	6.36	2	5	4		37	6.11	6.42	3	
Konè M.	Roma	C	29	6.26	6.53	2	3	2						
Thorstvedt	Sassuolo	C	31	6.15	6.48	4	3	9						
Casadei	Torino	C	32	5.97	6.45	6	0	5		15	6.03	6.27	1	
Ekkelenkamp	Udinese	C	31	6.05	6.61	5	3	1		33	5.97	6.27	3	
Cancellieri	Lazio	C	28	5.93	6.29	4	1	6		25	5.76	6.04	3	
Pasalic	Atalanta	C	31	5.94	6.27	3	3	3		33	5.91	6.14	3	
Bernardeschi	Bologna	C	24	6.04	6.56	4	2	3						
Mandragora	Torino	C	34	6.04	6.62	7	2	7		27	6.19	6.67	4	
Isaksen	Lazio	C	27	6.04	6.63	5	1	0		37	6.05	6.34	4	
Konè I.	Sassuolo	C	35	6.19	6.63	6	0	3						
Cambiaghi	Bologna	C	24	5.98	6.42	3	4	3		17	6.15	6.5	1	
Colpani	Monza	C								24	5.81	6.04	2	
Odgaard	Bologna	C	22	5.91	6.61	5	1	1		28	6.14	6.84	6	
Fagioli	Fiorentina	C	33	6.03	6.23	2	3	5		24	5.92	6.04	1	
Ndour	Fiorentina	C	30	5.8	6.07	3	0	2		7	5.71	5.64	0	
Diouf	Inter	C	10	6.15	6.45	1	0	1						
Sucic P.	Inter	C	28	6.07	6.27	2	2	5						
Locatelli	Juventus	C	36	6.26	6.19	1	2	9		35	6.19	6.26	2	
Vergara	Napoli	C	8	6.25	6.5	1	0	2						
Cristante	Roma	C	37	6.11	6.22	2	1	6		28	6.2	6.59	4	
Calò	Frosinone	C												
Pessina	Monza	C								11	6.09	6	0	
Unai Gomez	Udinese	C												
Gaetano	Atalanta	C	32	6.06	6.31	2	4	4		27	6.04	6.41	2	
Ferguson	Bologna	C	23	5.8	5.78	1	0	5		14	6.11	6.39	1	
Fazzini	Cagliari	C	12	5.88	5.83	0	0	2		20	6.42	6.98	4	
Frendrup	Genoa	C	36	5.96	5.97	1	0	5		35	6	6.04	2	
Frattesi	Lazio	C	14	5.89	5.89	0	0	0		23	6.02	6.72	5	
Lobotka	Napoli	C	31	6.05	6.1	1	0	3		31	6.05	6.03	0	
Bernabè	Parma	C	32	6.17	6.48	3	1	0						
Volpato	Sassuolo	C	21	6.14	6.52	2	4	4						
Oristanio	Torino	C	18	5.78	5.92	1	0	1		37	6.05	6.34	3	
Winks	Cagliari	C												
Liberali	Como	C	0	0	0	0	0	0		1	6	6	0	
Oulai	Fiorentina	C												
Chukwueze	Milan	C	1	5.5	5.5	0	0	0		16	6.09	6.78	3	
Zalewski	Atalanta	C	31	6.1	6.4	2	5	3		19	6.03	6.21	1	
Pobega	Bologna	C	23	5.83	6.17	3	1	2		20	6.05	6.25	2	
Adopo	Cagliari	C	38	5.83	5.88	1	1	4		34	5.87	5.91	1	
Caqueret	Como	C	28	6.11	6.41	2	4	3		16	6.34	6.78	2	
Ellertsson	Genoa	C	35	5.84	5.91	1	1	1		35	6.01	6.21	2	
Zhegrova	Juventus	C	12	5.96	5.96	0	0	1						
Rovella	Lazio	C	11	5.73	5.64	0	1	2		33	6.11	6	0	
Coulibaly L.	Lecce	C	33	6.05	6.29	3	1	4		37	5.96	6	1	
Pierotti	Lecce	C	37	5.8	5.85	1	1	4		35	5.81	6.1	4	
Akinsanmiro	Monza	C	23	5.8	5.8	0	1	2						
Nicolussi Caviglia	Parma	C	23	5.89	6.02	0	4	4		35	6.2	6.53	4	
Karlstrom	Udinese	C	36	5.96	5.96	1	0	6		37	5.85	5.78	0	
Basic	Venezia	C	23	6.09	6.43	2	3	0		0	0	0	0	
Amondarain	Bologna	C												
Romano	Cagliari	C												
Milla	Como	C												
Addai	Como	C	12	5.96	6.54	3	0	4						
Meichtry	Genoa	C												
Traorè Hj.	Genoa	C												
Cacciamani	Torino	C								1	6	6	0	
Busio	Venezia	C								31	5.9	6.03	2	
Perez K.	Venezia	C								16	6.03	6.16	1	
Felici	Cagliari	C	11	6.05	6.55	2	1	3		18	5.83	5.97	0	
Zerbin	Frosinone	C	29	5.76	5.79	0	2	2		18	6	6.11	1	
Mkhitaryan	Inter	C	28	6.21	6.59	4	1	5		32	6.06	6.25	1	
Koopmeiners	Juventus	C	29	5.64	5.55	0	0	5		28	5.98	6.39	3	
Dele-Bashiru	Lazio	C	21	5.69	5.83	1	0	0		17	6.06	6.65	3	
Berisha M.	Lecce	C	12	6.17	6.92	2	3	0		14	6.07	5.96	0	
Gandelman	Lecce	C	16	5.97	6.41	2	1	0						
Fofana Y.			33	5.85	6.06	2	3	4		34	6.03	6.22	1	
Keita M.	Parma	C	36	6.01	6.06	1	1	1		28	5.73	5.66	0	
Ondrejka			15	5.7	5.63	0	0	2		10	6.35	7.85	5	
Pisilli	Roma	C	22	6.09	6.48	2	4	3		24	5.98	6.12	2	
Matic	Sassuolo	C	34	5.96	5.96	1	1	6						
Adzic	Sassuolo	C	4	6.12	6.88	1	0	0		1	6	6	0	
Bakola	Sassuolo	C	3	6.17	6.17	0	0	0						
Gineitis	Torino	C	27	5.87	5.81	0	1	5		28	5.95	6.21	3	
Piotrowski	Udinese	C	30	5.88	5.95	1	0	2						
Sohm	Venezia	C	24	5.65	5.62	0	1	3		37	6.03	6.26	4	
Cichella	Frosinone	C												
Koutsoupias	Frosinone	C												
Douglas Luiz	Juventus	C	0	0	0	0	0	0		15	5.87	5.8	0	
Almqvist	Parma	C	9	5.94	6.06	0	1	0		26	5.79	5.85	1	
Fitz-Jim	Torino	C												
Njie	Fiorentina	C	9	6	5.94	0	0	1		9	6	5.94	0	
De Roon	Roma	C	34	5.97	6	1	2	6		36	6.15	6.53	4	
Moro N.	Bologna	C	28	5.93	6.12	2	0	1		16	6	6.03	0	
Prati			32	5.88	5.88	1	0	6		10	5.85	5.8	0	
Fabbian	Parma	C	22	5.8	6.05	2	0	2		22	6.09	6.48	3	
Amorim	Genoa	C	9	5.72	5.67	0	0	1						
Luis Henrique	Inter	C	27	5.89	6.06	1	2	1						
Cataldi	Lazio	C	27	6.07	6.41	3	3	6		24	6.04	6.4	3	
Ngom	Lecce	C	13	5.69	5.65	0	0	1						
Ricci S.	Como	C	28	6	6.18	1	3	3		34	6.06	6.03	1	
Jashari	Milan	C	12	5.71	5.79	0	1	0						
Loftus-Cheek	Milan	C	21	6.1	6.52	3	1	2		18	5.86	5.78	0	
Folorunsho	Monza	C	26	6.04	6.21	2	0	3		13	5.96	5.77	0	
El Aynaoui			21	5.98	6.1	1	2	5						
Ilkhan	Torino	C	17	5.82	6	1	2	2						
Dominguez B.	Sassuolo	C	12	5.83	6.04	0	3	1		20	6.28	6.82	3	
Gelli F.	Frosinone	C												
Fini	Frosinone	C												
Stankovic A.	Inter	C												
Colombo L.	Monza	C												
Diallo O.	Parma	C												
Aboukhlal	Torino	C	11	5.77	5.64	0	0	4						
Sulemana I.	Sassuolo	C	18	5.69	5.78	1	0	3		6	6.17	7.08	2	
Deiola	Cagliari	C	20	5.98	5.95	0	1	3		25	5.98	6.14	2	
Brescianini	Fiorentina	C	18	5.97	6.31	2	1	2		23	6.13	6.72	4	
Messias	Genoa	C	19	6.18	6.68	3	1	1		16	6	6.03	1	
Miretti			15	5.97	6.2	1	1	1		25	5.98	6.42	3	
Gilmour	Napoli	C	13	6.08	6.27	1	0	1		17	6	6.06	0	
Sorensen O.			30	5.85	5.95	1	1	2						
Miller L.	Udinese	C	19	5.92	5.95	0	2	4						
Helgason	Venezia	C	4	5.62	5.62	0	0	0		17	6.03	6.26	0	
El Azzouzi O.	Bologna	C												
Hasa	Frosinone	C								0	0	0	0	
Ciurria	Monza	C								17	5.79	6	1	
Chakvetadze	Udinese	C												
Duncan	Venezia	C								14	5.86	5.79	0	
Fadera	Cagliari	C	24	5.92	6.15	2	1	5		24	6	6.19	1	
Masini	Frosinone	C	21	5.98	5.9	0	1	5		18	6.06	6.17	1	
Venturino	Genoa	C	7	5.86	5.86	0	0	0		3	6.83	8.83	2	
Maleh	Lecce	C	21	5.69	5.71	1	0	3		22	5.82	5.75	0	
Musah	Milan	C	16	5.94	6.09	1	0	1		26	5.69	5.67	0	
Ordonez C.	Parma	C	21	5.79	5.81	1	0	3						
Boloca	Sassuolo	C	2	5.75	5.75	0	0	0						
Lipani	Sassuolo	C	21	5.93	5.9	0	1	3						
El Azzouzi A.	Frosinone	C												
Kone B.	Frosinone	C								1	6	6	0	
Kaba	Lecce	C	11	5.77	5.73	0	0	1		12	5.88	5.83	0	
Camara A.														
Bjarkason										4	5.88	5.75	0	
Dagasso	Venezia	C												
Liteta	Cagliari	C	4	5.75	5.75	0	0	0						
Lahdo	Como	C	0	0	0	0	0	0						
Belahyane	Lazio	C	11	5.77	5.82	0	2	1		26	5.77	5.69	0	
Przyborek	Lazio	C	0	0	0	0	0	0						
Gorter	Lecce	C	1	5.5	5.5	0	0	0						
Fofana Sa.	Lecce	C	2	5.5	5.5	0	0	0						
Cremaschi	Parma	C	1	6	6	0	0	0						
Iannoni			5	6	6.5	1	0	3						
Ilic	Lecce	C	8	6	5.88	0	0	2		16	5.91	5.97	1	
Anjorin	Torino	C	9	5.78	5.72	0	0	1		22	6.3	6.64	2	
Zarraga	Udinese	C	10	5.75	5.7	0	0	2		18	5.78	5.94	1	
Martinez L.	Inter	A	30	6.42	8.25	17	6	4		31	6.19	7.44	12	
Malen	Roma	A	18	6.72	8.97	14	2	1						
Thuram	Inter	A	29	6.43	7.95	13	6	2		32	6.33	7.75	14	
Hojlund	Napoli	A	33	6.21	7.44	12	5	1						
Ramos G.	Milan	A												
Kolo Muani	Juventus	A								16	6.22	7.78	8	
Kean	Como	A	26	5.88	6.77	8	1	4		32	6.42	8.08	19	
Yildiz	Juventus	A	35	6.39	7.3	10	6	2		34	6.34	7.01	7	
Douvikas	Como	A	36	6.18	7.38	14	1	0		12	6.21	6.75	2	
Scamacca	Atalanta	A	22	6.18	7.55	10	1	2		0	0	0	0	
Davis K.	Udinese	A	30	6.32	7.37	10	4	5		16	6	6.38	2	
Krstovic	Atalanta	A	32	6.16	7.19	10	5	4		37	6.05	6.92	11	
Leao			28	5.88	6.86	9	3	5		34	6.19	7.06	8	
Berardi	Sassuolo	A	26	6.31	7.19	8	4	2						
De Ketelaere	Atalanta	A	31	6.21	6.6	3	5	4		34	6.19	6.94	7	
