squadra,nome,id_fantacalcio,status,note,gerarchia_portiere
Cagliari,Mina,4210,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Rodriguez,7268,TITOLARE,"Probabile XI; ballottaggio con Kofler. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Obert,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Adopo,4870,TITOLARE,"Non e titolare fisso: alterna partenze dal primo minuto e ingressi. SOS Fanta guida 2026/27, pag. 3.",
Cagliari,Winks,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Romano,7311,TITOLARE,"Probabile XI; ballottaggio con Prati / Fadera. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Fazzini,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Kevin Carlos,,BALLOTTAGGIO,"Si candida da centravanti con Borrelli e Mendy concorrenti per la maglia. SOS Fanta guida 2026/27, pag. 4.",
Cagliari,Maldini,,TITOLARE,"Indicato come titolare di base nel reparto offensivo di Pisacane. SOS Fanta guida 2026/27, pag. 4.",
Cagliari,Kofler,,BALLOTTAGGIO,"Alternativa in ballottaggio con Rodriguez. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Prati,,BALLOTTAGGIO,"Alternativa in ballottaggio con Romano. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Fadera,,BALLOTTAGGIO,"Alternativa in ballottaggio con Romano. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Mendy,,BALLOTTAGGIO,"Alternativa in ballottaggio con Maldini. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Cagliari,Zappa,,RISERVA,"Panchina G1 (40%): alternativa difensiva. Fantacalcio.it probabili G1, agg. 22/08/2026",
Cagliari,Borrelli,6243,BALLOTTAGGIO,"Concorre con Kevin Carlos e Mendy per il posto da centravanti. SOS Fanta guida 2026/27, pag. 4.",
Cagliari,Deiola,1871,BALLOTTAGGIO,"E un giocatore da rotazioni piu che un titolare. SOS Fanta guida 2026/27, pag. 3.",
Como,Butez,6966,TITOLARE,"SOS Fanta gerarchia portieri 2026/27: primo. Nessun dubbio sul titolare del Como di Fabregas, è Butez che è stato grande protagonista in positivo nella scorsa stagione. Alle sue spalle il vice è Audero, completa la gerarchia Vigorito.",PRIMO
Como,Couto,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Smolcic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Chalobah,5641,TITOLARE,"SOS Fanta guida difensori 2026/27: punto fermo del Como, titolare atteso. Fonte utente.",
Como,Ramon,6869,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Kaiki,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Valle. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Da Cunha,5559,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Perrone,6151,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Diao,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Rodriguez. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Paz,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Baturina,,TITOLARE,"Probabile XI; ballottaggio con Caqueret. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Douvikas,7017,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Smolcic,,BALLOTTAGGIO,"Alternativa in ballottaggio con Couto. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Kempf,6893,BALLOTTAGGIO,"Con l'arrivo di Chalobah non e piu titolare fisso ed entra nelle rotazioni. SOS Fanta guida 2026/27, pag. 2.",
Como,Valle,,BALLOTTAGGIO,"Alternativa in ballottaggio con Kaiki. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Rodriguez,7129,BALLOTTAGGIO,"Alternativa in ballottaggio con Diao. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Como,Caqueret,,RISERVA,"Non e titolare fisso; e un'opzione di rotazione tra centrocampo e trequarti. SOS Fanta guida 2026/27, pag. 3.",
Como,Addai,7127,RISERVA,"SOS Fanta guida centrocampisti 2026/27: recupero da rottura del tendine d'Achille, prudenza. Fonte utente.",
Como,Milla,7412,BALLOTTAGGIO,"Concorre con Da Cunha e Perrone per i posti in mediana. SOS Fanta guida 2026/27, pag. 3.",
Como,Van Der Brempt,6896,TITOLARE,"Rientra nella concorrenza sulla fascia destra con Couto e Smolcic. SOS Fanta guida 2026/27, pag. 2.",
Fiorentina,De Gea,2521,TITOLARE,"SOS Fanta gerarchia portieri 2026/27: primo. Il titolare tra i pali della Fiorentina è De Gea, se rimane in viola non ci sono dubbi. Alle sue spalle Christensen come vice, completa il terzetto Lezzerini.",PRIMO
Fiorentina,Jimenez,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Joao Mario. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Dragusin,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Viery,7410,BALLOTTAGGIO,"Parte avanti nelle gerarchie della nuova difesa viola. SOS Fanta guida 2026/27, pag. 2.",
Fiorentina,Valdepenas,7294,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Ndour,6294,TITOLARE,"Non parte titolare; Atta e davanti nelle gerarchie. SOS Fanta guida 2026/27, pag. 3.",
Fiorentina,Oulai,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Fagioli. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Atta,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Mastantuono,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Kean,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Gudmundsson,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Joao Mario,,BALLOTTAGGIO,"Alternativa in ballottaggio con Jimenez. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Ranieri,,BALLOTTAGGIO,"Alternativa in ballottaggio con Viery. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Fagioli,,TITOLARE,"E il titolare iniziale in cabina di regia per Grosso. SOS Fanta guida 2026/27, pag. 3.",
Fiorentina,Mandragora,,BALLOTTAGGIO,"Alternativa in ballottaggio con Ndour. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Fiorentina,Pongracic,,RISERVA,"Panchina G1: alternativa difensiva. Fantacalcio.it probabili G1, agg. 22/08/2026",
Fiorentina,Pellegrino M.,7023,TITOLARE,"E la prima alternativa offensiva e puo incidere a gara in corso. SOS Fanta guida 2026/27, pag. 4.",
Frosinone,Palmisani,6415,BALLOTTAGGIO,"SOS Fanta gerarchia portieri 2026/27: primo/secondo. Dualismo vero e proprio in casa Frosinone per quanto riguarda il portiere titolare. Del 2004 Palmisani, titolare nella scorsa stagione in Serie B; del 2003 il nuovo arrivato Desplanches, investimento per presente e futuro del club. Si giocheranno il posto sin dal ritiro estivo, al momento è una gerarchia apertissima. Seguiranno aggiornamenti già nel corso del pre-campionato in ottica asta. Completa il terzetto Pisseri.",PRIMO/SECONDO
Frosinone,Oyono A.,6238,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Monterisi,4952,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Calvani,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Akpoguma. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Bracaglia,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Terzic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Grillitsch,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Calò,7472,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Cichella,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Zerbin. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Ghedjemis,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Raimondo,,BALLOTTAGGIO,"Cerca spazio e deve ancora adattarsi alla Serie A. SOS Fanta guida 2026/27, pag. 4.",
Frosinone,Schmid,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Akpoguma,7540,TITOLARE,"Alternativa in ballottaggio con Calvani. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Terzic,4375,TITOLARE,"Alternativa in ballottaggio con Bracaglia. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Zerbin,,BALLOTTAGGIO,"Alternativa in ballottaggio con Cichella. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Frosinone,Kvernadze,,TITOLARE,"Nella XI indicata per G1; non nella XI pre-campionato. Fantacalcio.it probabili G1, agg. 22/08/2026",
Frosinone,Masini,6917,BALLOTTAGGIO,"Panchina G1 (55%): alternativa di centrocampo. Fantacalcio.it probabili G1, agg. 22/08/2026",
Frosinone,Desplanches,7463,BALLOTTAGGIO,"SOS Fanta gerarchia portieri 2026/27: primo/secondo. Dualismo vero e proprio in casa Frosinone per quanto riguarda il portiere titolare. Del 2004 Palmisani, titolare nella scorsa stagione in Serie B; del 2003 il nuovo arrivato Desplanches, investimento per presente e futuro del club. Si giocheranno il posto sin dal ritiro estivo, al momento è una gerarchia apertissima. Seguiranno aggiornamenti già nel corso del pre-campionato in ottica asta. Completa il terzetto Pisseri.",PRIMO/SECONDO
Genoa,Bijlow,7332,TITOLARE,"SOS Fanta gerarchia portieri 2026/27: primo. Nessun dubbio sul titolare di casa Genoa, è confermatissimo Bijlow. Ha detto addio Leali in estate e in amichevole ha giocato Stolz e non Sommariva: per questo al momento è più l'austriaco il secondo portiere. Con l'italiano che per ora è dunque il terzo a completare la gerarchia.",PRIMO
Genoa,Marcandalli,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Ostigard,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Vasquez,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Norton-Cuffy,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Frendrup,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Sow,5946,TITOLARE,"Probabile XI; ballottaggio con Amorim. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Ellertsson,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Mitaj. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Baldanzi,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Traoré. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Vitinha,6164,BALLOTTAGGIO,"Per De Rossi va considerato titolare e porta voto con continuita. SOS Fanta guida 2026/27, pag. 4.",
Genoa,Colombo,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Mitaj,7537,BALLOTTAGGIO,SOS Fanta guida difensori 2026/27: titolare atteso a sinistra. Fonte utente.,
Genoa,Amorim,,BALLOTTAGGIO,"Alternativa in ballottaggio con Sow. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Traoré,2857,BALLOTTAGGIO,"Alternativa in ballottaggio con Baldanzi. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Meichtry,,BALLOTTAGGIO,"Alternativa in ballottaggio con Vitinha. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Genoa,Martin,,RISERVA,"Panchina G1 (50%): alternativa sulla fascia. Fantacalcio.it probabili G1, agg. 22/08/2026",
Genoa,Havel,7453,RISERVA,"Parte dietro nelle gerarchie offensive come alternativa mobile. SOS Fanta guida 2026/27, pag. 4.",
Inter,Martinez Jo.,5116,TITOLARE,"SOS Fanta gerarchia portieri 2026/27: primo. Rivoluzione tra i pali nell'Inter. In partenza, il titolare è Martinez dopo l'addio di Sommer, è stato promosso da Chivu e parte come prima scelta. Alle sue spalle il club ha puntato sull'esperienza e l'affidabilità di Provedel, che dà ampie garanzie: al fantacalcio sono da prendere entrambi per non correre alcun rischio nel corso della stagione. Completa il terzetto Di Gennaro.",PRIMO
Inter,Akanji,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Stones,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Bisseck. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Bastoni,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Spence,5982,BALLOTTAGGIO,"Non ha il posto fisso e si gioca la fascia destra con Diouf. SOS Fanta guida 2026/27, pag. 2.",
Inter,Barella,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Calhanoglu,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Jones,5172,TITOLARE,"SOS Fanta guida centrocampisti 2026/27: progetto da titolare accanto a Barella e Calhanoglu, con rotazioni. Fonte utente.",
Inter,Dimarco,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Thuram,4871,TITOLARE,"SOS Fanta guida attaccanti 2026/27: attaccante titolare, Pio Esposito terza punta. Fonte utente.",
Inter,Lautaro Martinez,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Bisseck,,BALLOTTAGGIO,"Alternativa in ballottaggio con Stones. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Diouf,,BALLOTTAGGIO,"Alternativa in ballottaggio con Spence. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Zielinski,,BALLOTTAGGIO,"Alternativa in ballottaggio con Jones. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Inter,Pio Esposito,,RISERVA,"Non e titolare fisso ed e il terzo attaccante dopo Lautaro e Thuram. SOS Fanta guida 2026/27, pag. 4.",
Inter,Sucic,,RISERVA,"Panchina G1 (60%): prima alternativa di centrocampo. Fantacalcio.it probabili G1, agg. 22/08/2026",
Inter,Provedel,2814,RISERVA,"SOS Fanta gerarchia portieri 2026/27: secondo. Rivoluzione tra i pali nell'Inter. In partenza, il titolare è Martinez dopo l'addio di Sommer, è stato promosso da Chivu e parte come prima scelta. Alle sue spalle il club ha puntato sull'esperienza e l'affidabilità di Provedel, che dà ampie garanzie: al fantacalcio sono da prendere entrambi per non correre alcun rischio nel corso della stagione. Completa il terzetto Di Gennaro.",SECONDO
Inter,Bonny,6669,RISERVA,"E il quarto attaccante nelle gerarchie dell'Inter. SOS Fanta guida 2026/27, pag. 4.",
Inter,Carlos Augusto,5877,RISERVA,"E un comprimario e il principale back-up nelle rotazioni. SOS Fanta guida 2026/27, pag. 2.",
Inter,Luis Henrique,5301,RISERVA,"Insegue nelle gerarchie e ha Diouf davanti. SOS Fanta guida 2026/27, pag. 3.",
Inter,Mkhitaryan,2529,RISERVA,"Non e piu un titolare fisso del centrocampo. SOS Fanta guida 2026/27, pag. 3.",
Inter,Pavard,4177,RISERVA,"Non e titolare e sara un'alternativa nelle rotazioni difensive. SOS Fanta guida 2026/27, pag. 2.",
Juventus,Vicario,4964,TITOLARE,"SOS Fanta gerarchia portieri 2026/27: primo. Il titolare è arrivato dal mercato, si tratta di Guglielmo Vicario: Spalletti è pronto a puntare su di lui. È cambiato anche il secondo, ora c'è Grabara e completa il terzetto Pinsoglio.",PRIMO
Juventus,Kalulu,4976,TITOLARE,SOS Fanta guida difensori 2026/27: titolare e jolly difensivo di Spalletti. Fonte utente.,
Juventus,Bremer,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Juventus,Lucumì,6042,BALLOTTAGGIO,"Parte davanti a Kelly per affiancare Bremer. SOS Fanta guida 2026/27, pag. 2.",
Juventus,Cambiaso,5520,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Juventus,Locatelli,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Juventus,McKennie,,TITOLARE,"E diventato un intoccabile e Spalletti vi rinuncia raramente. SOS Fanta guida 2026/27, pag. 3.",
Juventus,Conceicao,6884,BALLOTTAGGIO,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Juventus,Alajbegovic,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Thuram. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Juventus,Yildiz,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Juventus,Kolo Muani,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40",
Juventus,Kelly,6766,BALLOTTAGGIO,"Lucumi e davanti accanto a Bremer; Kelly e la prima riserva dei centrali. SOS Fanta guida 2026/27, pag. 2.",
Juventus,Celik,4657,BALLOTTAGGIO,"SOS Fanta guida difensori 2026/27: alternativa di Kalulu, utile nelle rotazioni. Fonte utente.",
Juventus,Thuram,5562,BALLOTTAGGIO,"E indicato come titolare del centrocampo juventino. SOS Fanta guida 2026/27, pag. 3.",
Juventus,Koopmeiners,,RISERVA,"Panchina G1 (40%): alternativa di centrocampo. Fantacalcio.it probabili G1, agg. 22/08/2026",
Juventus,David,,RISERVA,"Panchina G1 (55%): alternativa offensiva. Fantacalcio.it probabili G1, agg. 22/08/2026",
Juventus,Perin,218,RISERVA,"SOS Fanta guida portieri 2026/27: vice affidabile di Vicario, da abbinare al titolare. Fonte utente.",
Juventus,Boga,2832,RISERVA,"Non garantisce titolarita ed entra nelle rotazioni offensive. SOS Fanta guida 2026/27, pag. 4.",
Juventus,Zhegrova,5761,RISERVA,"Non e titolare e ha davanti giocatori importanti. SOS Fanta guida 2026/27, pag. 3.",
Lazio,Mandas,6482,TITOLARE,"SOS Fanta gerarchia portieri 2026/27: primo. Gerarchia da definire, ma parte davanti Mandas tra i pali nella Lazio con l'arrivo di Gattuso. Alle sue spalle Motta che ha convinto nel finale della scorsa stagione. Completa il terzetto Renzetti visto che Furlanetto si è rotto il crociato e tornerà solo nel 2027.",PRIMO
